Net Status Report
Filename     : C:\Users\Think\Desktop\PCB_配电变压器智能监测系统_2022-01-25.pcbdoc
Date         : 2022-01-25
Time         : 16:57:33
Time Elapsed : 00:00:00

Nets, Layer, Length
    RMII_RXD1, Signal Layers Only, 0mils
    RMII_TXD0, Signal Layers Only, 0mils
    RMII_TXD1, Signal Layers Only, 0mils
    RMII_TX_EN, Signal Layers Only, 0mils
    RST, Signal Layers Only, 0mils
    SCLK_7878, Signal Layers Only, 0mils
    SDIO_CMD, Signal Layers Only, 0mils
    SDIO_D0, Signal Layers Only, 0mils
    SDIO_D1, Signal Layers Only, 0mils
    SDIO_D2, Signal Layers Only, 0mils
    SDIO_D3, Signal Layers Only, 0mils
    SDIO_SCK, Signal Layers Only, 0mils
    SHT31_SCL, Signal Layers Only, 0mils
    SHT31_SDA, Signal Layers Only, 0mils
    SPEED_LED, Signal Layers Only, 0mils
    SS_7878, Signal Layers Only, 0mils
    SWD_CLK, Signal Layers Only, 0mils
    SWD_DIO, Signal Layers Only, 0mils
    TF_IN, Signal Layers Only, 0mils
    TPRX+, Signal Layers Only, 0mils
    TPRX-, Signal Layers Only, 0mils
    TPTX+, Signal Layers Only, 0mils
    TPTX-, Signal Layers Only, 0mils
    U10_18, Signal Layers Only, 0mils
    U11_36, Signal Layers Only, 0mils
    U11_37, Signal Layers Only, 0mils
    U11_38, Signal Layers Only, 0mils
    U11_39, Signal Layers Only, 0mils
    U1_106, Signal Layers Only, 0mils
    U1_71, Signal Layers Only, 0mils
    U5_2, Signal Layers Only, 0mils
    ULTRASONIC_ADC, Signal Layers Only, 0mils
    ULTRASONIC_IN, Signal Layers Only, 0mils
    USART1_RX, Signal Layers Only, 0mils
    USART1_TX, Signal Layers Only, 0mils
    USART3_RX, Signal Layers Only, 0mils
    USART3_RX_DW, Signal Layers Only, 0mils
    USART3_TX, Signal Layers Only, 0mils
    USART3_TX_DW, Signal Layers Only, 0mils
    USART6_RX, Signal Layers Only, 0mils
    USART6_TX, Signal Layers Only, 0mils
    VAP, Signal Layers Only, 0mils
    VAP_IN, Signal Layers Only, 0mils
    VBP, Signal Layers Only, 0mils
    VBP_IN, Signal Layers Only, 0mils
    VCC, Signal Layers Only, 0mils
    VCP, Signal Layers Only, 0mils
    VCP_IN, Signal Layers Only, 0mils
    VDDA, Signal Layers Only, 0mils
    VREF, Signal Layers Only, 0mils
count : 192
